city,date,aqi,pm2_5,pm10,no2,o3,temperature,humidity,hospital_admissions,population_density,hospital_capacity,year,month_num,month,year_month,capacity_utilization_pct,aqi_category
Delhi,2059-09-10,230,52.6,68.1,27.3,52.6,15.5,72,10,Urban,1070,2059,9,Sep,2059-09,0.93,Very Unhealthy
Beijing,2059-09-11,53,40.3,26.2,22.7,26.6,6.5,59,11,Suburban,578,2059,9,Sep,2059-09,1.9,Moderate
Tokyo,2059-09-12,219,45.2,24.6,22.8,55.7,-2.2,80,9,Urban,420,2059,9,Sep,2059-09,2.14,Very Unhealthy
Delhi,2059-09-13,274,56.0,40.7,20.6,38.4,6.1,22,4,Urban,1327,2059,9,Sep,2059-09,0.3,Very Unhealthy
Tokyo,2059-09-14,187,8.5,17.0,22.9,25.8,15.2,51,0,Rural,848,2059,9,Sep,2059-09,0.0,Unhealthy
Beijing,2059-09-15,437,10.1,32.4,30.9,26.2,15.7,31,5,Suburban,916,2059,9,Sep,2059-09,0.55,Hazardous
Tokyo,2059-09-16,41,42.9,59.0,32.3,10.7,6.0,55,1,Urban,235,2059,9,Sep,2059-09,0.43,Good
Mexico City,2059-09-17,88,1.7,50.1,40.6,58.9,11.8,71,6,Urban,1529,2059,9,Sep,2059-09,0.39,Moderate
Mexico City,2059-09-18,437,32.5,76.6,33.4,48.0,0.2,61,11,Urban,208,2059,9,Sep,2059-09,5.29,Hazardous
Los Angeles,2059-09-19,267,37.7,48.1,33.4,30.4,34.4,37,4,Urban,448,2059,9,Sep,2059-09,0.89,Very Unhealthy
Delhi,2059-09-20,126,29.1,32.9,25.2,46.8,31.4,38,4,Urban,1048,2059,9,Sep,2059-09,0.38,Unhealthy for Sensitive Groups
Mexico City,2059-09-21,358,52.7,57.7,11.1,51.0,37.0,59,13,Suburban,583,2059,9,Sep,2059-09,2.23,Hazardous
Tokyo,2059-09-22,75,37.9,48.7,25.7,48.0,24.9,53,7,Suburban,1754,2059,9,Sep,2059-09,0.4,Moderate
Cairo,2059-09-23,430,71.5,53.1,44.2,48.6,33.6,62,11,Rural,1316,2059,9,Sep,2059-09,0.84,Hazardous
Cairo,2059-09-24,382,17.9,70.8,14.5,59.6,14.7,44,7,Rural,1955,2059,9,Sep,2059-09,0.36,Hazardous
Mexico City,2059-09-25,120,46.3,32.8,26.6,41.2,25.5,91,5,Suburban,65,2059,9,Sep,2059-09,7.69,Unhealthy for Sensitive Groups
Mexico City,2059-09-26,69,45.6,35.1,27.7,51.0,28.3,66,12,Suburban,830,2059,9,Sep,2059-09,1.45,Moderate
Mexico City,2059-09-27,125,32.4,33.6,27.8,46.1,20.9,78,11,Urban,86,2059,9,Sep,2059-09,12.79,Unhealthy for Sensitive Groups
Mexico City,2059-09-28,382,42.2,57.7,13.4,32.7,16.6,53,4,Rural,1580,2059,9,Sep,2059-09,0.25,Hazardous
Mexico City,2059-09-29,258,34.4,50.7,16.5,24.3,-3.3,64,10,Urban,1517,2059,9,Sep,2059-09,0.66,Very Unhealthy
Delhi,2059-09-30,416,13.9,64.0,23.5,55.4,29.7,90,8,Urban,1028,2059,9,Sep,2059-09,0.78,Hazardous
Delhi,2059-10-01,367,37.9,10.7,24.6,16.3,6.5,60,11,Urban,357,2059,10,Oct,2059-10,3.08,Hazardous
Mexico City,2059-10-02,128,60.6,52.4,28.4,60.5,19.4,59,12,Urban,448,2059,10,Oct,2059-10,2.68,Unhealthy for Sensitive Groups
Beijing,2059-10-03,162,59.9,79.7,40.8,64.7,2.6,75,12,Suburban,855,2059,10,Oct,2059-10,1.4,Unhealthy
Beijing,2059-10-04,50,20.6,56.4,42.9,44.4,15.0,38,5,Suburban,1228,2059,10,Oct,2059-10,0.41,Good
Delhi,2059-10-05,383,36.4,47.6,26.3,5.2,13.7,69,8,Suburban,1735,2059,10,Oct,2059-10,0.46,Hazardous
London,2059-10-06,183,56.7,45.6,32.4,50.4,33.2,83,10,Urban,1892,2059,10,Oct,2059-10,0.53,Unhealthy
Cairo,2059-10-07,141,16.6,30.9,23.5,52.1,40.0,56,8,Suburban,1205,2059,10,Oct,2059-10,0.66,Unhealthy for Sensitive Groups
Mexico City,2059-10-08,67,37.3,70.6,31.1,35.9,6.0,58,6,Urban,499,2059,10,Oct,2059-10,1.2,Moderate
Tokyo,2059-10-09,444,21.6,39.0,40.3,15.3,27.5,60,8,Suburban,289,2059,10,Oct,2059-10,2.77,Hazardous
Tokyo,2059-10-10,292,50.0,34.2,24.9,43.3,18.4,26,12,Urban,1696,2059,10,Oct,2059-10,0.71,Very Unhealthy
Delhi,2059-10-11,37,39.0,22.3,36.5,60.2,24.1,94,4,Urban,908,2059,10,Oct,2059-10,0.44,Good
Delhi,2059-10-12,449,23.4,17.2,28.1,47.1,30.9,68,4,Urban,563,2059,10,Oct,2059-10,0.71,Hazardous
Delhi,2059-10-13,356,28.5,49.9,51.1,50.3,39.8,48,7,Suburban,1239,2059,10,Oct,2059-10,0.56,Hazardous
Delhi,2059-10-14,259,51.2,47.1,21.0,38.5,27.7,29,11,Urban,617,2059,10,Oct,2059-10,1.78,Very Unhealthy
Mexico City,2059-10-15,448,32.1,48.0,40.0,57.8,23.8,40,9,Suburban,671,2059,10,Oct,2059-10,1.34,Hazardous
Delhi,2059-10-16,117,21.7,53.6,53.9,39.1,-2.8,44,10,Urban,108,2059,10,Oct,2059-10,9.26,Unhealthy for Sensitive Groups
Tokyo,2059-10-17,123,45.2,27.6,17.2,45.5,32.3,94,6,Suburban,456,2059,10,Oct,2059-10,1.32,Unhealthy for Sensitive Groups
Mexico City,2059-10-18,298,39.2,59.3,36.4,40.1,30.9,26,11,Urban,1698,2059,10,Oct,2059-10,0.65,Very Unhealthy
Beijing,2059-10-19,169,34.2,26.2,26.8,47.5,34.9,30,15,Suburban,483,2059,10,Oct,2059-10,3.11,Unhealthy
São Paulo,2059-10-20,45,29.1,54.2,14.1,34.6,11.5,50,14,Rural,149,2059,10,Oct,2059-10,9.4,Good
Cairo,2059-10-21,349,39.4,67.8,37.6,37.7,8.4,83,0,Urban,505,2059,10,Oct,2059-10,0.0,Hazardous
Los Angeles,2059-10-22,153,46.7,63.3,19.5,32.0,37.1,84,5,Urban,244,2059,10,Oct,2059-10,2.05,Unhealthy
Los Angeles,2059-10-23,478,22.1,8.6,30.2,37.6,5.9,24,2,Suburban,1002,2059,10,Oct,2059-10,0.2,Hazardous
Cairo,2059-10-24,457,24.4,61.8,41.2,53.6,7.0,41,0,Urban,642,2059,10,Oct,2059-10,0.0,Hazardous
Mexico City,2059-10-25,169,39.8,8.7,45.8,50.8,1.2,89,5,Urban,331,2059,10,Oct,2059-10,1.51,Unhealthy
Tokyo,2059-10-26,425,33.9,43.1,33.8,23.4,36.7,46,12,Urban,981,2059,10,Oct,2059-10,1.22,Hazardous
Delhi,2059-10-27,336,34.9,62.7,41.1,26.1,11.5,39,7,Urban,76,2059,10,Oct,2059-10,9.21,Hazardous
Mexico City,2059-10-28,385,23.9,54.7,32.3,40.0,11.6,27,7,Urban,1645,2059,10,Oct,2059-10,0.43,Hazardous
Beijing,2059-10-29,498,44.5,54.4,37.1,30.8,11.6,73,15,Suburban,1089,2059,10,Oct,2059-10,1.38,Hazardous
Delhi,2059-10-30,340,22.1,64.2,51.2,17.3,12.2,79,8,Urban,1560,2059,10,Oct,2059-10,0.51,Hazardous
Delhi,2059-10-31,378,51.8,61.3,36.2,28.9,20.4,42,4,Urban,789,2059,10,Oct,2059-10,0.51,Hazardous
Delhi,2059-11-01,366,53.7,87.7,24.7,40.3,4.3,66,11,Rural,650,2059,11,Nov,2059-11,1.69,Hazardous
Delhi,2059-11-02,482,56.3,51.0,43.2,34.5,33.6,94,6,Rural,1453,2059,11,Nov,2059-11,0.41,Hazardous
Delhi,2059-11-03,319,66.1,42.2,22.2,46.7,38.0,68,14,Suburban,1427,2059,11,Nov,2059-11,0.98,Hazardous
Beijing,2059-11-04,272,28.8,60.4,40.7,50.2,33.2,70,5,Suburban,259,2059,11,Nov,2059-11,1.93,Very Unhealthy
London,2059-11-05,283,54.0,35.7,26.7,44.7,-0.5,55,9,Suburban,832,2059,11,Nov,2059-11,1.08,Very Unhealthy
Mexico City,2059-11-06,250,25.8,26.1,24.5,41.3,5.3,28,2,Urban,1114,2059,11,Nov,2059-11,0.18,Very Unhealthy
Mexico City,2059-11-07,25,13.9,52.5,20.3,33.8,28.2,60,7,Suburban,1873,2059,11,Nov,2059-11,0.37,Good
Delhi,2059-11-08,240,17.4,40.9,43.4,34.5,8.2,43,5,Suburban,546,2059,11,Nov,2059-11,0.92,Very Unhealthy
London,2059-11-09,49,22.8,33.3,39.4,36.1,18.6,30,7,Suburban,1526,2059,11,Nov,2059-11,0.46,Good
Delhi,2059-11-10,136,10.7,92.5,17.9,34.6,3.3,54,5,Urban,1558,2059,11,Nov,2059-11,0.32,Unhealthy for Sensitive Groups
Beijing,2059-11-11,115,65.2,93.9,31.5,34.8,27.8,54,4,Urban,1595,2059,11,Nov,2059-11,0.25,Unhealthy for Sensitive Groups
Beijing,2059-11-12,417,31.8,22.1,34.2,56.8,7.6,46,10,Urban,1429,2059,11,Nov,2059-11,0.7,Hazardous
Tokyo,2059-11-13,273,53.4,20.7,34.9,45.3,34.3,62,10,Suburban,1597,2059,11,Nov,2059-11,0.63,Very Unhealthy
São Paulo,2059-11-14,215,54.4,57.7,35.1,46.9,6.1,52,10,Suburban,1110,2059,11,Nov,2059-11,0.9,Very Unhealthy
Los Angeles,2059-11-15,110,23.7,42.4,45.6,32.9,23.3,87,7,Urban,95,2059,11,Nov,2059-11,7.37,Unhealthy for Sensitive Groups
Los Angeles,2059-11-16,464,36.7,48.2,28.8,25.8,33.2,82,9,Urban,1826,2059,11,Nov,2059-11,0.49,Hazardous
Beijing,2059-11-17,233,14.2,56.5,15.7,45.9,20.9,94,5,Urban,1558,2059,11,Nov,2059-11,0.32,Very Unhealthy
Mexico City,2059-11-18,395,41.0,39.2,23.6,36.8,24.9,73,8,Urban,1950,2059,11,Nov,2059-11,0.41,Hazardous
Delhi,2059-11-19,291,43.6,25.6,43.7,46.2,7.6,79,4,Suburban,1387,2059,11,Nov,2059-11,0.29,Very Unhealthy
Delhi,2059-11-20,297,60.2,47.3,34.9,36.8,32.3,71,11,Rural,807,2059,11,Nov,2059-11,1.36,Very Unhealthy
São Paulo,2059-11-21,374,33.3,82.4,5.3,37.7,19.3,33,7,Urban,1589,2059,11,Nov,2059-11,0.44,Hazardous
Cairo,2059-11-22,314,47.7,67.5,32.7,29.0,6.9,42,10,Suburban,1846,2059,11,Nov,2059-11,0.54,Hazardous
Beijing,2059-11-23,279,25.5,59.0,32.7,20.3,37.6,26,4,Urban,847,2059,11,Nov,2059-11,0.47,Very Unhealthy
Delhi,2059-11-24,255,58.9,61.6,24.8,36.6,13.8,89,9,Suburban,253,2059,11,Nov,2059-11,3.56,Very Unhealthy
Delhi,2059-11-25,338,45.2,63.4,18.6,53.8,16.9,20,6,Urban,1975,2059,11,Nov,2059-11,0.3,Hazardous
Beijing,2059-11-26,41,14.1,59.4,38.4,45.8,-1.1,82,3,Suburban,1292,2059,11,Nov,2059-11,0.23,Good
Delhi,2059-11-27,226,18.6,66.4,24.8,10.3,8.1,50,1,Urban,915,2059,11,Nov,2059-11,0.11,Very Unhealthy
Mexico City,2059-11-28,106,36.4,50.3,32.2,30.8,1.5,25,8,Rural,1468,2059,11,Nov,2059-11,0.54,Unhealthy for Sensitive Groups
Delhi,2059-11-29,461,38.4,6.2,41.8,13.0,9.5,20,6,Urban,1897,2059,11,Nov,2059-11,0.32,Hazardous
Delhi,2059-11-30,378,27.7,43.3,14.5,45.5,14.5,60,13,Suburban,658,2059,11,Nov,2059-11,1.98,Hazardous
Delhi,2059-12-01,381,38.0,81.2,23.8,39.7,7.4,93,11,Urban,1052,2059,12,Dec,2059-12,1.05,Hazardous
Los Angeles,2059-12-02,109,2.6,49.3,36.9,34.1,31.2,81,1,Suburban,1116,2059,12,Dec,2059-12,0.09,Unhealthy for Sensitive Groups
Beijing,2059-12-03,222,21.3,64.3,25.8,46.7,1.3,26,5,Urban,1180,2059,12,Dec,2059-12,0.42,Very Unhealthy
Beijing,2059-12-04,36,22.2,41.0,14.6,37.4,28.5,20,10,Urban,448,2059,12,Dec,2059-12,2.23,Good
Mexico City,2059-12-05,90,51.6,75.8,30.0,33.3,30.3,41,9,Suburban,1233,2059,12,Dec,2059-12,0.73,Moderate
Los Angeles,2059-12-06,264,22.3,69.2,43.6,51.4,18.2,38,8,Urban,1976,2059,12,Dec,2059-12,0.4,Very Unhealthy
Beijing,2059-12-07,354,6.0,44.4,28.4,60.3,0.6,73,8,Urban,1239,2059,12,Dec,2059-12,0.65,Hazardous
Los Angeles,2059-12-08,444,46.6,75.4,38.8,42.3,14.9,75,6,Suburban,196,2059,12,Dec,2059-12,3.06,Hazardous
Delhi,2059-12-09,223,49.0,93.9,25.7,34.2,38.2,52,1,Urban,1509,2059,12,Dec,2059-12,0.07,Very Unhealthy
Mexico City,2059-12-10,341,11.9,51.7,22.1,60.5,-4.0,40,3,Urban,163,2059,12,Dec,2059-12,1.84,Hazardous
Beijing,2059-12-11,112,33.1,77.1,36.9,61.3,11.6,88,8,Urban,1926,2059,12,Dec,2059-12,0.42,Unhealthy for Sensitive Groups
Tokyo,2059-12-12,191,12.6,47.8,38.8,49.3,8.9,78,7,Urban,314,2059,12,Dec,2059-12,2.23,Unhealthy
São Paulo,2059-12-13,300,30.6,37.3,32.2,51.4,11.1,68,6,Urban,963,2059,12,Dec,2059-12,0.62,Very Unhealthy
Los Angeles,2059-12-14,259,29.4,74.9,28.8,21.8,11.8,26,6,Rural,1204,2059,12,Dec,2059-12,0.5,Very Unhealthy
Tokyo,2059-12-15,193,55.9,34.0,32.2,32.0,37.6,56,13,Urban,1710,2059,12,Dec,2059-12,0.76,Unhealthy
Delhi,2059-12-16,215,52.3,40.2,32.7,29.7,11.9,38,9,Rural,1422,2059,12,Dec,2059-12,0.63,Very Unhealthy
Mexico City,2059-12-17,388,26.4,76.0,49.9,42.3,34.4,21,10,Suburban,1488,2059,12,Dec,2059-12,0.67,Hazardous
Delhi,2059-12-18,216,41.3,30.0,47.2,21.8,8.7,74,18,Urban,124,2059,12,Dec,2059-12,14.52,Very Unhealthy
Delhi,2059-12-19,141,27.9,10.9,23.3,37.9,22.1,93,8,Urban,590,2059,12,Dec,2059-12,1.36,Unhealthy for Sensitive Groups
Beijing,2059-12-20,39,42.9,55.0,24.5,34.5,17.7,70,7,Urban,1399,2059,12,Dec,2059-12,0.5,Good
Los Angeles,2059-12-21,234,35.1,23.3,36.4,25.3,27.2,61,10,Urban,225,2059,12,Dec,2059-12,4.44,Very Unhealthy
Los Angeles,2059-12-22,162,28.4,66.8,29.5,31.9,20.4,25,6,Urban,1531,2059,12,Dec,2059-12,0.39,Unhealthy
London,2059-12-23,176,51.3,89.8,39.0,38.7,25.5,92,10,Urban,248,2059,12,Dec,2059-12,4.03,Unhealthy
Mexico City,2059-12-24,174,32.9,76.5,29.9,57.9,-1.2,27,6,Urban,1612,2059,12,Dec,2059-12,0.37,Unhealthy
Tokyo,2059-12-25,424,62.0,35.9,40.6,47.9,8.4,35,14,Suburban,659,2059,12,Dec,2059-12,2.12,Hazardous
Tokyo,2059-12-26,442,26.8,74.4,30.2,29.2,6.0,38,1,Urban,1410,2059,12,Dec,2059-12,0.07,Hazardous
London,2059-12-27,212,44.7,27.7,15.2,52.5,12.2,53,8,Urban,1942,2059,12,Dec,2059-12,0.41,Very Unhealthy
Delhi,2059-12-28,255,20.7,60.5,24.5,55.1,18.2,59,7,Suburban,1084,2059,12,Dec,2059-12,0.65,Very Unhealthy
Beijing,2059-12-29,117,44.6,33.0,47.9,50.8,22.7,27,19,Urban,230,2059,12,Dec,2059-12,8.26,Unhealthy for Sensitive Groups
Los Angeles,2059-12-30,35,60.0,25.2,38.2,61.2,-3.0,24,17,Suburban,1979,2059,12,Dec,2059-12,0.86,Good
Cairo,2059-12-31,431,46.1,13.9,33.7,58.6,30.6,67,12,Urban,1652,2059,12,Dec,2059-12,0.73,Hazardous
Delhi,2060-01-01,156,60.9,76.6,21.0,49.5,24.4,61,13,Urban,1751,2060,1,Jan,2060-01,0.74,Unhealthy
Beijing,2060-01-02,463,19.8,63.3,32.0,45.3,2.9,54,7,Suburban,954,2060,1,Jan,2060-01,0.73,Hazardous
Beijing,2060-01-03,138,44.8,90.0,40.2,42.4,-2.4,36,9,Urban,493,2060,1,Jan,2060-01,1.83,Unhealthy for Sensitive Groups
Delhi,2060-01-04,184,32.6,37.0,23.9,32.4,10.6,87,7,Suburban,279,2060,1,Jan,2060-01,2.51,Unhealthy
London,2060-01-05,218,18.1,42.7,19.8,28.3,8.4,23,14,Urban,524,2060,1,Jan,2060-01,2.67,Very Unhealthy
Delhi,2060-01-06,439,34.1,45.0,33.1,43.9,20.4,89,3,Urban,406,2060,1,Jan,2060-01,0.74,Hazardous
Beijing,2060-01-07,157,54.0,73.9,31.5,22.1,32.5,70,10,Suburban,535,2060,1,Jan,2060-01,1.87,Unhealthy
Los Angeles,2060-01-08,245,34.1,36.9,38.1,35.2,31.0,87,5,Suburban,696,2060,1,Jan,2060-01,0.72,Very Unhealthy
Beijing,2060-01-09,393,44.3,58.6,45.1,19.1,2.4,36,15,Suburban,390,2060,1,Jan,2060-01,3.85,Hazardous
Delhi,2060-01-10,366,22.3,53.4,30.5,41.9,27.2,25,18,Urban,1823,2060,1,Jan,2060-01,0.99,Hazardous
Mexico City,2060-01-11,160,48.3,52.5,36.9,43.1,-2.0,36,4,Suburban,1973,2060,1,Jan,2060-01,0.2,Unhealthy
Beijing,2060-01-12,136,35.7,62.0,50.5,41.1,1.8,51,4,Urban,1969,2060,1,Jan,2060-01,0.2,Unhealthy for Sensitive Groups
São Paulo,2060-01-13,153,34.1,56.5,25.3,27.6,30.5,39,12,Urban,1870,2060,1,Jan,2060-01,0.64,Unhealthy
Los Angeles,2060-01-14,79,39.1,59.4,22.6,27.1,0.3,73,1,Urban,819,2060,1,Jan,2060-01,0.12,Moderate
São Paulo,2060-01-15,232,68.6,52.7,29.6,35.3,0.2,23,12,Suburban,1684,2060,1,Jan,2060-01,0.71,Very Unhealthy
Delhi,2060-01-16,259,56.4,79.7,30.2,52.4,28.2,81,7,Urban,641,2060,1,Jan,2060-01,1.09,Very Unhealthy
Los Angeles,2060-01-17,456,20.7,33.0,32.8,54.5,0.2,94,4,Urban,1323,2060,1,Jan,2060-01,0.3,Hazardous
Mexico City,2060-01-18,201,40.1,11.4,18.6,38.8,36.3,30,8,Suburban,847,2060,1,Jan,2060-01,0.94,Very Unhealthy
Los Angeles,2060-01-19,138,29.6,5.0,35.2,43.6,33.9,72,7,Rural,1456,2060,1,Jan,2060-01,0.48,Unhealthy for Sensitive Groups
Beijing,2060-01-20,0,35.6,25.3,39.0,40.3,5.7,61,9,Suburban,939,2060,1,Jan,2060-01,0.96,Good
Delhi,2060-01-21,497,28.3,47.2,40.1,36.6,20.9,45,10,Urban,1185,2060,1,Jan,2060-01,0.84,Hazardous
Delhi,2060-01-22,22,38.7,48.9,23.9,22.5,25.1,75,9,Urban,876,2060,1,Jan,2060-01,1.03,Good
London,2060-01-23,5,57.8,60.8,32.3,49.8,32.7,31,6,Urban,1242,2060,1,Jan,2060-01,0.48,Good
London,2060-01-24,313,15.2,13.5,33.0,39.3,33.8,86,6,Rural,314,2060,1,Jan,2060-01,1.91,Hazardous
Delhi,2060-01-25,308,30.0,24.9,32.3,23.1,4.8,93,2,Urban,1567,2060,1,Jan,2060-01,0.13,Hazardous
Mexico City,2060-01-26,172,31.8,61.6,34.2,43.5,-1.2,55,13,Urban,1980,2060,1,Jan,2060-01,0.66,Unhealthy
Los Angeles,2060-01-27,256,23.6,35.6,20.7,42.2,0.7,23,5,Urban,1616,2060,1,Jan,2060-01,0.31,Very Unhealthy
Mexico City,2060-01-28,16,28.0,25.7,30.6,29.6,4.9,30,8,Urban,1068,2060,1,Jan,2060-01,0.75,Good
Beijing,2060-01-29,306,17.6,83.8,35.2,12.2,-1.4,90,8,Suburban,1528,2060,1,Jan,2060-01,0.52,Hazardous
Tokyo,2060-01-30,214,48.8,19.8,32.4,44.6,0.4,84,4,Rural,1022,2060,1,Jan,2060-01,0.39,Very Unhealthy
Mexico City,2060-01-31,464,13.3,64.2,37.3,36.5,33.4,28,6,Rural,812,2060,1,Jan,2060-01,0.74,Hazardous
Los Angeles,2060-02-01,61,68.0,9.9,20.2,26.4,28.0,66,8,Suburban,1377,2060,2,Feb,2060-02,0.58,Moderate
Mexico City,2060-02-02,458,31.8,17.1,12.1,36.4,-4.9,75,8,Urban,112,2060,2,Feb,2060-02,7.14,Hazardous
Los Angeles,2060-02-03,75,21.4,28.3,22.6,53.8,37.5,91,3,Urban,971,2060,2,Feb,2060-02,0.31,Moderate
Delhi,2060-02-04,36,19.2,57.8,33.8,59.9,22.9,91,4,Urban,283,2060,2,Feb,2060-02,1.41,Good
Tokyo,2060-02-05,380,43.9,33.1,24.1,27.7,0.9,55,16,Rural,1344,2060,2,Feb,2060-02,1.19,Hazardous
Delhi,2060-02-06,22,30.4,39.7,30.3,53.0,4.4,29,10,Suburban,647,2060,2,Feb,2060-02,1.55,Good
London,2060-02-07,38,65.9,67.3,13.9,40.3,15.6,88,14,Suburban,1902,2060,2,Feb,2060-02,0.74,Good
Tokyo,2060-02-08,305,29.2,76.6,23.6,37.6,-1.6,47,12,Urban,146,2060,2,Feb,2060-02,8.22,Hazardous
Mexico City,2060-02-09,230,50.4,45.3,41.4,54.9,21.9,94,15,Urban,340,2060,2,Feb,2060-02,4.41,Very Unhealthy
Mexico City,2060-02-10,183,31.2,55.1,31.6,29.2,5.4,82,13,Suburban,722,2060,2,Feb,2060-02,1.8,Unhealthy
Delhi,2060-02-11,163,22.9,72.9,32.9,34.5,18.0,56,9,Urban,1184,2060,2,Feb,2060-02,0.76,Unhealthy
Beijing,2060-02-12,401,46.5,64.8,27.5,37.6,9.6,55,10,Suburban,1467,2060,2,Feb,2060-02,0.68,Hazardous
Mexico City,2060-02-13,489,56.8,56.6,23.3,47.2,24.4,45,10,Urban,1794,2060,2,Feb,2060-02,0.56,Hazardous
Delhi,2060-02-14,392,18.2,52.1,31.7,36.7,-0.1,54,1,Urban,1020,2060,2,Feb,2060-02,0.1,Hazardous
Delhi,2060-02-15,10,12.8,66.8,21.3,45.2,33.1,71,11,Suburban,1412,2060,2,Feb,2060-02,0.78,Good
São Paulo,2060-02-16,274,30.7,25.3,34.1,21.9,22.8,92,8,Urban,766,2060,2,Feb,2060-02,1.04,Very Unhealthy
Beijing,2060-02-17,227,10.9,35.8,45.1,35.3,4.8,76,10,Urban,158,2060,2,Feb,2060-02,6.33,Very Unhealthy
Beijing,2060-02-18,171,36.6,57.4,39.1,15.4,15.4,26,12,Urban,1796,2060,2,Feb,2060-02,0.67,Unhealthy
Delhi,2060-02-19,349,18.4,63.0,37.4,41.1,26.8,80,5,Suburban,496,2060,2,Feb,2060-02,1.01,Hazardous
Mexico City,2060-02-20,249,27.2,65.0,37.7,28.7,22.3,78,7,Urban,1548,2060,2,Feb,2060-02,0.45,Very Unhealthy
Beijing,2060-02-21,471,34.8,39.4,24.7,39.2,18.9,46,8,Urban,1486,2060,2,Feb,2060-02,0.54,Hazardous
Los Angeles,2060-02-22,285,59.8,46.5,20.8,38.8,13.1,71,5,Suburban,727,2060,2,Feb,2060-02,0.69,Very Unhealthy
Beijing,2060-02-23,157,38.8,45.2,47.6,67.5,-4.3,89,0,Suburban,1353,2060,2,Feb,2060-02,0.0,Unhealthy
Delhi,2060-02-24,469,66.0,56.9,46.7,59.1,8.3,91,4,Suburban,1879,2060,2,Feb,2060-02,0.21,Hazardous
Beijing,2060-02-25,317,50.2,61.8,1.4,54.6,32.2,45,13,Urban,1293,2060,2,Feb,2060-02,1.01,Hazardous
Delhi,2060-02-26,363,40.9,45.4,40.3,28.0,24.0,64,10,Rural,613,2060,2,Feb,2060-02,1.63,Hazardous
London,2060-02-27,127,67.0,51.9,45.0,51.3,-0.5,74,7,Urban,1925,2060,2,Feb,2060-02,0.36,Unhealthy for Sensitive Groups
Delhi,2060-02-28,112,42.2,23.8,20.4,30.2,30.2,28,7,Suburban,452,2060,2,Feb,2060-02,1.55,Unhealthy for Sensitive Groups
Delhi,2060-02-29,314,39.6,58.3,16.8,26.2,8.9,27,7,Rural,1979,2060,2,Feb,2060-02,0.35,Hazardous
Beijing,2060-03-01,140,45.4,16.3,27.0,64.5,14.8,21,8,Urban,783,2060,3,Mar,2060-03,1.02,Unhealthy for Sensitive Groups
Delhi,2060-03-02,43,72.4,33.7,14.9,58.4,2.1,62,13,Urban,920,2060,3,Mar,2060-03,1.41,Good
Beijing,2060-03-03,208,40.5,35.0,33.9,50.2,-0.0,61,9,Suburban,1861,2060,3,Mar,2060-03,0.48,Very Unhealthy
Beijing,2060-03-04,143,34.6,44.3,33.1,29.0,24.7,44,5,Urban,945,2060,3,Mar,2060-03,0.53,Unhealthy for Sensitive Groups
Cairo,2060-03-05,464,8.2,21.2,12.8,38.5,5.6,36,3,Suburban,123,2060,3,Mar,2060-03,2.44,Hazardous
Delhi,2060-03-06,222,40.9,53.2,31.8,48.5,18.8,74,10,Urban,867,2060,3,Mar,2060-03,1.15,Very Unhealthy
Mexico City,2060-03-07,184,20.1,33.8,34.4,47.4,16.7,60,8,Suburban,679,2060,3,Mar,2060-03,1.18,Unhealthy
Los Angeles,2060-03-08,30,9.2,81.1,20.5,59.2,25.8,84,9,Rural,945,2060,3,Mar,2060-03,0.95,Good
Delhi,2060-03-09,318,31.5,47.5,45.6,58.0,21.5,42,8,Urban,716,2060,3,Mar,2060-03,1.12,Hazardous
Mexico City,2060-03-10,97,57.9,56.3,50.6,43.2,25.2,64,16,Suburban,573,2060,3,Mar,2060-03,2.79,Moderate
London,2060-03-11,353,50.0,51.5,23.1,39.8,-1.7,69,13,Rural,344,2060,3,Mar,2060-03,3.78,Hazardous
Los Angeles,2060-03-12,52,46.4,56.4,11.6,51.9,34.9,50,8,Urban,788,2060,3,Mar,2060-03,1.02,Moderate
Tokyo,2060-03-13,350,52.2,78.9,22.9,45.4,25.7,36,7,Urban,1273,2060,3,Mar,2060-03,0.55,Hazardous
Los Angeles,2060-03-14,472,8.6,49.6,42.3,57.4,38.7,23,5,Suburban,1574,2060,3,Mar,2060-03,0.32,Hazardous
Beijing,2060-03-15,470,24.3,53.1,43.0,37.8,32.8,28,9,Urban,140,2060,3,Mar,2060-03,6.43,Hazardous
Tokyo,2060-03-16,256,39.2,17.1,20.1,42.6,-0.6,33,11,Urban,374,2060,3,Mar,2060-03,2.94,Very Unhealthy
Delhi,2060-03-17,151,18.1,64.1,37.3,37.8,4.2,61,9,Suburban,99,2060,3,Mar,2060-03,9.09,Unhealthy
Mexico City,2060-03-18,293,40.7,56.3,27.4,38.2,19.0,54,10,Suburban,878,2060,3,Mar,2060-03,1.14,Very Unhealthy
Los Angeles,2060-03-19,388,28.4,54.6,27.0,21.6,15.5,86,9,Urban,982,2060,3,Mar,2060-03,0.92,Hazardous
London,2060-03-20,409,58.4,37.9,41.0,57.0,-0.0,24,13,Urban,83,2060,3,Mar,2060-03,15.66,Hazardous
Tokyo,2060-03-21,33,10.4,53.8,8.3,28.9,17.1,29,6,Urban,661,2060,3,Mar,2060-03,0.91,Good
Delhi,2060-03-22,171,6.7,53.6,23.9,44.0,13.3,21,10,Urban,1667,2060,3,Mar,2060-03,0.6,Unhealthy
Los Angeles,2060-03-23,251,50.6,8.0,44.1,47.0,15.0,23,14,Rural,1543,2060,3,Mar,2060-03,0.91,Very Unhealthy
